종목코드,기준일,지표,값
002820,2023-07-21,PER,-1.0195
002820,2023-07-21,PSR,0.0709
002840,2023-07-21,PBR,2.4124
002840,2023-07-21,PCR,9.7116
002840,2023-07-21,PER,11.6819
002840,2023-07-21,PSR,1.8327
002870,2023-07-21,PBR,0.4224
002870,2023-07-21,PCR,-3.6088
002870,2023-07-21,PER,-6.9288
002870,2023-07-21,PSR,0.8409
002880,2023-07-21,PBR,0.3172
002880,2023-07-21,PCR,-2.1272
002880,2023-07-21,PER,-0.7895
002880,2023-07-21,PSR,0.0529
002900,2023-07-21,PBR,0.8802
002900,2023-07-21,PCR,8.8535
002900,2023-07-21,PER,3.1232
002900,2023-07-21,PSR,0.2772
002920,2023-07-21,PBR,0.2428
002920,2023-07-21,PCR,3.4141
002920,2023-07-21,PER,3.1643
002920,2023-07-21,PSR,0.2608
002960,2023-07-21,PBR,2.7372
002960,2023-07-21,PCR,21.3296
002960,2023-07-21,PER,10.2839
002960,2023-07-21,PSR,0.9265
002990,2023-07-21,PBR,0.3878
002990,2023-07-21,PCR,7.8214
002990,2023-07-21,PER,10.3507
002990,2023-07-21,PSR,0.0966
003000,2023-07-21,PBR,1.8511
003000,2023-07-21,PCR,-30.4618
003000,2023-07-21,PER,-67.5099
003000,2023-07-21,PSR,2.6128
003010,2023-07-21,PBR,0.6782
003010,2023-07-21,PCR,120.3473
003010,2023-07-21,PER,-19.5158
003010,2023-07-21,PSR,0.3796
003030,2023-07-21,PBR,0.3932
003030,2023-07-21,PCR,1.3084
003030,2023-07-21,PER,1.7397
003030,2023-07-21,PSR,0.1928
003060,2023-07-21,PBR,0.4771
003060,2023-07-21,PCR,26.1688
003060,2023-07-21,PER,24.2482
003060,2023-07-21,PSR,4.0168
003070,2023-07-21,PBR,0.3987
003070,2023-07-21,PCR,5.878
003070,2023-07-21,PER,2.0482
003070,2023-07-21,PSR,0.0976
003080,2023-07-21,PBR,0.4552
003080,2023-07-21,PCR,106.106
003080,2023-07-21,PER,21.953
003080,2023-07-21,PSR,0.9932
003090,2023-07-21,PBR,0.5697
003090,2023-07-21,PCR,5.003
003090,2023-07-21,PER,5.3802
003090,2023-07-21,PSR,0.4194
003100,2023-07-21,PBR,0.3799
003100,2023-07-21,PCR,2.632
003100,2023-07-21,PER,9.4712
003100,2023-07-21,PSR,0.7449
003120,2023-07-21,PBR,0.7717
003120,2023-07-21,PCR,-7.216
003120,2023-07-21,PER,2.8215
003120,2023-07-21,PSR,5.2992
003160,2023-07-21,PBR,1.3621
003160,2023-07-21,PCR,15.4166
003160,2023-07-21,PER,20.6035
003160,2023-07-21,PSR,1.0254
003200,2023-07-21,PBR,0.2756
003200,2023-07-21,PCR,-9.2214
003200,2023-07-21,PER,2.1944
003200,2023-07-21,PSR,0.4211
003220,2023-07-21,PBR,1.3603
003220,2023-07-21,PCR,9.6619
003220,2023-07-21,PER,10.9823
003220,2023-07-21,PSR,0.6782
003230,2023-07-21,PBR,1.9873
003230,2023-07-21,PCR,13.7142
003230,2023-07-21,PER,10.6958
003230,2023-07-21,PSR,0.9389
003240,2023-07-21,PBR,0.1712
003240,2023-07-21,PCR,-5.3691
003240,2023-07-21,PER,2.0671
003240,2023-07-21,PSR,0.2715
003280,2023-07-21,PBR,4.1182
003280,2023-07-21,PCR,16.0283
003280,2023-07-21,PER,18.4942
003280,2023-07-21,PSR,2.8372
003300,2023-07-21,PBR,0.1748
003300,2023-07-21,PCR,-391.2356
003300,2023-07-21,PER,2.1379
003300,2023-07-21,PSR,0.1643
003310,2023-07-21,PBR,1.1362
003310,2023-07-21,PCR,21.1862
003310,2023-07-21,PER,15.8897
003310,2023-07-21,PSR,0.7369
003350,2023-07-21,PBR,2.3103
003350,2023-07-21,PCR,14.7596
003350,2023-07-21,PER,19.8584
003350,2023-07-21,PSR,1.0635
003380,2023-07-21,PBR,0.1642
003380,2023-07-21,PCR,0.7565
003380,2023-07-21,PER,1.6328
003380,2023-07-21,PSR,0.0619
003410,2023-07-21,PBR,1.6472
003410,2023-07-21,PCR,9.4311
003410,2023-07-21,PER,21.8025
003410,2023-07-21,PSR,1.2305
003460,2023-07-21,PBR,0.2694
003460,2023-07-21,PCR,2.9507
