일자,기준금리,CPI,실업률,환율
2022-12-01,3.25,5.7,2.8,1279.800049
2022-12-02,3.25,5,2.8,1303.25
2022-12-05,3.25,5,2.8,1299.170044
2022-12-06,3.25,5,2.8,1304.369995
2022-12-07,3.25,5,2.8,1319.709961
2022-12-08,3.25,5,2.8,1314.099976
2022-12-09,3.25,5,2.8,1316.630005
2022-12-12,3.25,5,2.8,1303.170044
2022-12-13,3.25,5,2.8,1305.920044
2022-12-14,3.25,5,2.9,1288.97998
2022-12-15,3.25,5,2.9,1295.680054
2022-12-16,3.25,5,2.9,1317.099976
2022-12-19,3.25,5,2.9,1308.859985
2022-12-20,3.25,5,2.9,1301.329956
2022-12-21,3.25,5,2.9,1283.640015
2022-12-22,3.25,5,2.9,1280.77002
2022-12-23,3.25,5,2.9,1290.199951
2022-12-26,3.25,5,2.9,1279.23999
2022-12-27,3.25,5,2.9,1275.130005
2022-12-28,3.25,5,2.9,1272.280029
2022-12-29,3.25,5,2.9,1274.319946
2023-01-02,3.25,5,2.9,1260.910034
2023-01-03,3.25,5,2.9,1270.099976
2023-01-04,3.25,5,2.9,1279.079956
2023-01-05,3.25,5,2.9,1271.079956
2023-01-06,3.25,5,2.9,1274.180054
2023-01-09,3.25,5,2.9,1252.880005
2023-01-10,3.25,5,2.9,1239.280029
2023-01-11,3.25,5,3.3,1240.160034
2023-01-12,3.25,5,3.3,1241.599976
2023-01-13,3.5,5,3.3,1239.130005
2023-01-16,3.5,5,3.3,1236.589966
2023-01-17,3.5,5,3.3,1240.709961
2023-01-18,3.5,5,3.3,1237
2023-01-19,3.5,5,3.3,1237.880005
2023-01-20,3.5,5,3.3,1232.180054
2023-01-25,3.5,5,3.3,1232.660034
2023-01-26,3.5,5,3.3,1232.589966
2023-01-27,3.5,5,3.3,1231.849976
2023-01-30,3.5,5,3.3,1228.949951
2023-01-31,3.5,5,3.3,1231.5
2023-02-01,3.5,5,3.3,1232.150024
2023-02-02,3.5,5.2,3.3,1221.949951
2023-02-03,3.5,5.2,3.3,1224.900024
2023-02-06,3.5,5.2,3.3,1246.75
2023-02-07,3.5,5.2,3.3,1261.22998
2023-02-08,3.5,5.2,3.3,1255.349976
2023-02-09,3.5,5.2,3.3,1260.469971
2023-02-10,3.5,5.2,3.3,1264.550049
2023-02-13,3.5,5.2,3.3,1266.869995
2023-02-14,3.5,5.2,3.3,1272.939941
2023-02-15,3.5,5.2,2.9,1272.25
2023-02-16,3.5,5.2,2.9,1283.719971
2023-02-17,3.5,5.2,2.9,1288.959961
2023-02-20,3.5,5.2,2.9,1293.920044
2023-02-21,3.5,5.2,2.9,1296.109985
2023-02-22,3.5,5.2,2.9,1305.829956
2023-02-23,3.5,5.2,2.9,1302.829956
2023-02-24,3.5,5.2,2.9,1298.079956
2023-02-27,3.5,5.2,2.9,1313.699951
2023-02-28,3.5,5.2,2.9,1318.349976
2023-03-02,3.5,5.2,2.9,1305.72998
2023-03-03,3.5,5.2,2.9,1311.060059
2023-03-06,3.5,4.8,2.9,1294.780029
2023-03-07,3.5,4.8,2.9,1299
2023-03-08,3.5,4.8,2.9,1317.900024
2023-03-09,3.5,4.8,2.9,1316.449951
2023-03-10,3.5,4.8,2.9,1325.550049
2023-03-13,3.5,4.8,2.9,1319.540039
2023-03-14,3.5,4.8,2.9,1296.380005
2023-03-15,3.5,4.8,2.6,1304.579956
2023-03-16,3.5,4.8,2.6,1311.73999
2023-03-17,3.5,4.8,2.6,1301.619995
